Event, subcl, eta_center, phi_center, time_center, eta_sig, phi_sig, etaphi_cov, timeeta_cov, energy, sw+
1472, 0, -0.556611, 0.73538, -0.212004, 0.0184151, 0.0236915, -0.00681834, 0.029425, 57.716, 0.268435
1477, 0, -0.976234, 0.67221, 0.119722, 0.0184339, 0.0185614, -0.000196502, -0.0536931, 115.425, 0.157175
1479, 0, 0.473379, 5.89204, 0.1079, 0.0180856, 0.0184201, -0.0135266, -0.00490367, 398.488, 0.16232
1487, 0, 0.0876249, 0.982992, -0.277228, 0.0182765, 0.0189036, -0.0229038, 0.0136771, 32.2113, 0.323201
1494, 0, 1.02554, 5.83935, 0.145176, 0.0182486, 0.0185965, 0.0147417, -0.0871055, 267.244, 0.166368
1495, 0, -0.984286, 4.17608, -0.193946, 0.0207012, 0.0234054, -0.0395476, -0.0319505, 112.662, 1.88742
1495, 1, -0.99642, 4.17011, -0.202077, 0.0221481, 0.0236865, 0.0376973, -0.14478, 130.695, 0.444583
1497, 0, -0.180887, 0.781867, 0.139192, 0.020558, 0.0231841, 0.25245, -0.131279, 30.6699, 0.306887
1501, 0, 0.450711, 4.88159, -0.0204682, 0.0197147, 0.0205887, -0.0220461, -0.0579013, 55.7892, 0.236296
1503, 0, 0.640424, 5.45568, 0.270544, 0.0193616, 0.0186283, 0.00971486, 0.17287, 366.129, 0.390264
1504, 0, -1.28646, 1.09239, 0.0406271, 0.0190241, 0.0194528, 0.00924671, -0.156033, 767.338, 0.368802
1506, 0, -0.121242, 0.435312, 0.199244, 0.0182312, 0.0205212, 0.0103838, -0.0191577, 95.5226, 1.10789
1507, 0, -0.509209, 5.10542, 0.530811, 0.0186868, 0.0185991, 0.00331055, 0.0313092, 292.459, 0.202335
1509, 0, -0.266663, 0.0828328, 0.370627, 0.0203529, 0.0202522, -0.170178, 0.0953913, 28.5893, 0.373115
1513, 0, 0.420285, 3.2025, -0.143869, 0.0193829, 0.0184628, 0.0165257, 0.0379547, 130.609, 0.347518
1518, 0, 1.40843, 3.91221, 0.13037, 0.0184172, 0.019954, -0.00375802, -0.0877827, 847.092, 0.529843
1519, 0, 0.472313, 6.12143, -0.266426, 0.0182342, 0.0192344, 0.0217431, -0.0160266, 426.371, 0.239026
1523, 0, -0.10452, 0.0717992, 0.0326329, 0.0236346, 0.044705, -0.00305674, -0.127607, 125.305, 1.05536
1525, 0, -0.346501, 6.15723, -0.436235, 0.0182968, 0.0260085, 0.000855702, 0.0398282, 81.2355, 1.04918
1526, 0, 0.821284, 3.69354, -0.149921, 0.019175, 0.0203331, 0.0110996, 0.0729626, 227.848, 0.234099
152, 0, -0.418028, 2.02033, 0.458588, 0.0205884, 0.0217419, -0.0306962, -0.168146, 150.105, 0.221629
157, 0, 1.15471, 5.44465, 0.0505078, 0.0235279, 0.0248097, -0.0170585, 0.0966658, 113.717, 0.368491
159, 0, -1.30432, 3.27921, 0.213012, 0.022148, 0.0238581, 0.0119874, -0.0224812, 153.22, 0.382126
